episode,timestep,reward
1,3000,-1436.3108
2,6000,-1935.0054
3,8000,-949.7684
4,11000,-1006.1754
5,13000,-1171.7691
6,16000,-576.1486
7,18000,-566.8412
8,21000,-773.936
9,23000,-2106.0959
10,26000,-559.7056
11,28000,-1938.968
12,31000,-1584.9158
13,33000,-1696.83
14,36000,-812.8561
15,38000,-1398.0999
16,41000,-953.1698
17,43000,-429.8014
18,46000,-1408.5902
19,48000,-1514.4379
20,51000,-846.3049
21,53000,-804.46
22,56000,-584.1016
23,58000,-933.9768
24,61000,-471.5723
25,63000,-374.9553
26,66000,-769.5844
27,68000,-592.3914
28,71000,-546.2064
29,73000,-1033.9647
30,76000,-311.0758
31,78000,-543.2467
32,81000,-466.0972
33,83000,-303.2426
34,86000,-587.125
35,88000,-871.2841
36,91000,-450.1555
37,93000,-710.0381
38,96000,-119.8873
39,98000,-611.8769
40,101000,-564.6894
41,103000,-616.7594
42,106000,-510.1223
43,108000,-523.5319
44,111000,-374.2034
45,113000,-1447.0023
46,116000,-523.8289
47,118000,-762.774
48,121000,-211.4809
49,123000,-680.7292
50,126000,-192.6791
51,128000,-592.189
52,131000,-985.0282
53,133000,-327.1973
54,136000,-540.7642
55,138000,-453.7098
56,141000,-659.4453
57,143000,-894.0713
58,146000,-470.9329
59,148000,-438.1306
60,151000,-702.7499
61,153000,-852.8675
62,156000,-401.3863
63,158000,-591.1634
64,161000,-467.5121
65,163000,-571.6903
66,166000,-443.5838
67,168000,-379.5973
68,171000,-558.4569
69,172000,66.8256
70,174000,-559.2371
71,177000,-222.7272
72,179000,-489.8447
73,182000,-346.1533
74,184000,-1000.7115
75,187000,-276.6465
76,189000,-827.0887
77,192000,-649.4894
78,194000,-68.092
79,197000,-862.1378
80,198000,67.3567
81,199000,1.4777
82,201000,-54.4383
83,203000,-15.6782
84,205000,-609.5118
85,207000,44.9629
86,210000,-179.3344
87,212000,-902.5341
88,215000,-475.0505
89,217000,-568.144
90,220000,-856.8915
91,222000,-667.2298
92,225000,-317.5805
93,227000,-938.3008
94,230000,-479.9576
95,232000,-174.3222
96,233000,82.356
97,234000,60.979
98,235000,66.3269
99,237000,-419.1689
100,239000,44.4814
101,242000,-713.3213
102,244000,-813.6329
103,245000,86.0099
104,248000,-420.2916
105,249000,49.8163
106,252000,-487.6149
107,254000,-533.2564
108,256000,-17.3344
109,259000,-365.684
110,261000,-677.4228
111,264000,-441.1902
112,266000,-1373.6272
113,269000,-208.4959
114,271000,-1999.7991
115,274000,-424.3805
116,276000,-2049.7391
117,277000,48.1675
119,280000,-110.4734
120,283000,-14.6407
121,285000,-794.7779
122,288000,-1321.9534
123,290000,-3657.8331
124,293000,-305.9452
125,295000,-815.5219
126,298000,-480.247
127,300000,-1131.8219
128,303000,-486.0753
129,305000,-386.6897
130,308000,-481.0829
131,310000,-2186.4919
132,313000,-66.322
133,315000,-615.6771
134,316000,84.8708
135,318000,-538.0649
136,320000,-112.7355
137,322000,-92.0412
138,324000,-1284.1272
139,325000,84.0568
140,327000,-708.0366
141,328000,83.9088
142,331000,-277.7124
143,333000,-127.8434
144,335000,30.8655
145,337000,-2487.4571
147,340000,-468.9957
148,342000,48.7553
149,344000,-1119.2497
150,347000,-157.2085
151,349000,-963.6647
152,350000,83.7952
153,352000,37.8487
154,354000,-275.9712
155,357000,-432.9851
156,359000,-3323.2636
157,362000,-539.6831
158,364000,-171.3447
159,366000,-1469.592
160,369000,-315.7109
161,371000,-206.535
163,372000,76.4111
164,375000,-1143.4562
165,377000,-500.0014
166,380000,-2096.0408
167,382000,-0.0054
168,384000,-399.196
169,386000,-46.546
170,388000,-2147.4993
171,391000,-1229.1347
172,393000,-597.9291
173,396000,-896.9572
174,397000,-64.894
175,399000,-3364.4817
176,402000,-2293.2577
177,403000,-80.0363
178,406000,-384.1968
179,408000,-1739.9399
181,409000,85.292
182,412000,-410.6452
183,414000,-2183.9401
184,417000,-1166.7057
185,419000,-305.836
186,422000,-1950.8697
187,424000,-305.2116
188,425000,-35.6342
189,428000,-609.2496
190,429000,52.3011
191,431000,-632.3314
192,434000,27.7651
193,435000,-2.9103
194,438000,-2756.4168
195,439000,86.3462
196,441000,-453.4763
197,444000,-4794.5401
198,446000,-1503.0549
199,448000,-156.4516
200,450000,-20.2158
201,452000,-47.4517
202,454000,-3864.3553
203,457000,-346.949
204,459000,-125.2789
205,461000,-3915.7977
206,464000,-333.4906
207,466000,-2117.7262
209,469000,-985.3182
210,472000,-699.4279
211,474000,-324.6275
212,477000,-1964.2702
213,479000,-47.938
214,480000,-88.8523
215,482000,-13.7595
216,485000,-3279.6901
217,486000,46.0923
218,489000,-279.4838
219,491000,-2705.8012
220,494000,-446.4157
221,496000,-2746.4009
222,498000,-46.4522
223,501000,-447.2192
224,503000,-5247.4061
225,506000,-421.4783
226,507000,-150.0125
227,510000,-3241.8534
228,512000,-47.7917
229,515000,-239.1558
230,517000,-404.2151
231,520000,-3361.2506
232,522000,-2736.539
233,525000,-415.0381
234,527000,-728.0235
235,528000,-22.9503
237,530000,16.9687
238,532000,10.683
239,534000,-123.0561
240,536000,-2627.3858
241,539000,-1935.8924
242,540000,-68.7706
243,542000,-50.7664
244,544000,-17.6845
245,545000,2.862
246,547000,-71.2566
247,549000,-3207.013
248,551000,-165.4209
249,554000,-3470.9311
250,556000,-399.5179
251,557000,62.5364
252,560000,-2021.5443
253,562000,34.8195
254,564000,-193.2329
255,566000,-3392.6719
256,569000,-377.12
257,570000,43.8957
258,572000,-3685.4131
259,574000,-26.6175
260,577000,-4852.5862
261,579000,-205.9176
262,581000,-358.1746
263,582000,71.7225
264,585000,-2181.7911
265,586000,41.3641
266,589000,-1715.5768
267,591000,-385.1293
268,594000,-1567.7832
269,595000,-300.1272
270,598000,-380.3866
271,600000,-1806.48
273,603000,6.7467
274,604000,88.9925
275,605000,-81.5646
276,607000,-214.3959
277,609000,-219.5901
278,611000,-227.6271
279,613000,-355.4532
280,616000,26.9516
281,617000,-91.7092
282,618000,-66.2134
283,620000,-59.2606
285,623000,-1718.2172
286,626000,-268.5752
287,628000,-2566.4684
288,631000,-335.6495
289,632000,-93.8689
290,633000,-112.7511
291,635000,-92.8248
292,637000,-308.3027
293,640000,-1298.2907
294,641000,-51.1716
295,643000,-307.8504
296,646000,-2198.0362
297,648000,-254.4094
298,649000,-10.5
299,651000,-91.7257
300,653000,-278.6964
302,655000,14.4528
303,657000,-253.5321
304,659000,-99.64
305,662000,-332.0863
306,664000,-1502.5972
307,665000,-37.718
308,667000,-130.5288
309,670000,-337.8216
310,671000,-258.8686
311,673000,-95.4983
312,674000,-67.7957
313,677000,-210.5661
314,679000,-108.7507
316,680000,86.2073
317,682000,-187.6033
318,684000,29.0713
319,686000,-193.564
320,688000,-4283.8003
321,689000,87.6693
322,691000,-131.8293
323,694000,-3028.9735
324,695000,33.4112
325,698000,-2862.6062
326,699000,-59.545
327,702000,-2609.3622
328,704000,-137.9141
329,707000,-3130.3268
330,709000,-348.2285
331,712000,-346.7464
332,714000,-1024.8855
333,717000,-1241.0529
334,719000,-1280.7832
335,722000,-1223.448
336,724000,-2761.2322
337,727000,-475.8696
338,728000,-8.2307
339,730000,-162.2725
340,732000,-350.2639
341,735000,-545.4824
342,737000,-880.7343
343,740000,-4620.4629
344,741000,-28.6926
346,742000,16.1248
347,744000,-96.0209
348,745000,49.7734
349,746000,-19.2614
350,748000,-81.5578
352,749000,83.2336
354,751000,-3.0618
355,753000,-69.6328
356,755000,-58.0908
357,757000,-237.0778
358,759000,-600.05
359,762000,-537.2871
360,764000,-3748.3703
361,766000,-120.3369
362,767000,85.1478
363,769000,-140.3344
364,772000,-200.9316
365,774000,-1712.2248
366,777000,-525.2868
367,779000,-151.5271
368,781000,-3083.172
369,783000,-277.8096
370,784000,84.4487
372,785000,35.0332
373,787000,-104.4366
374,788000,-88.2832
375,791000,-94.3316
376,793000,-278.7895
377,796000,-2025.4357
378,798000,-483.9193
379,800000,-218.4511
380,802000,-2585.8712
381,805000,-2928.9167
382,807000,-36.8205
383,810000,-3753.6822
384,812000,-216.9514
385,814000,-179.8602
386,816000,-595.6832
388,819000,-1534.5539
389,822000,-429.3031
390,823000,-214.6991
391,826000,-337.4976
392,828000,-2231.2205
393,829000,-62.0162
394,832000,-291.6442
395,834000,-301.0793
396,836000,-3794.621
397,839000,-3047.6327
398,841000,-238.9633
399,844000,-380.909
400,846000,-744.8652
401,849000,-3250.4882
402,851000,-503.6395
403,854000,-120.9231
404,856000,-2469.1591
405,859000,-111.4464
406,861000,-339.5689
407,864000,-3105.4823
408,866000,-497.9835
409,869000,-3694.0922
410,871000,-2419.5212
411,874000,7.3604
412,876000,-394.524
413,879000,-1541.7165
414,880000,-44.288
415,881000,-4.5487
416,882000,-14.8751
417,883000,88.0179
418,884000,40.5293
419,885000,6.7169
420,886000,62.6073
421,887000,-15.4994
422,889000,-61.7887
423,890000,-42.5269
424,891000,81.1803
425,892000,80.8545
426,893000,12.5502
427,894000,84.0905
428,895000,-20.0319
429,896000,-26.5196
430,897000,-90.7577
431,899000,-37.8893
432,901000,-238.6335
433,902000,51.3502
434,903000,-13.2848
435,905000,-23.026
437,906000,33.7997
438,908000,-23.4775
439,909000,-52.2103
440,910000,31.8698
441,911000,89.8498
442,913000,-91.0477
443,914000,-63.6376
444,915000,-13.503
445,916000,17.84
446,917000,-52.1527
447,919000,-61.5963
448,920000,-39.7616
449,921000,-65.9393
450,923000,-57.9547
451,924000,7.9468
452,925000,-62.0815
453,927000,-72.8429
455,928000,17.4655
456,929000,82.0008
457,930000,-45.9885
458,932000,-37.8341
459,933000,-61.9167
460,934000,-36.419
461,935000,77.6633
463,936000,25.4935
464,937000,83.9034
465,938000,87.7637
466,939000,25.5188
467,941000,-230.8014
468,943000,-2277.874
469,946000,-2543.8183
470,947000,-186.0616
471,949000,-174.2108
473,952000,-1972.105
474,954000,-86.4197
476,955000,38.9906
477,956000,-2.3181
478,957000,87.5966
479,958000,-6.1406
480,960000,14.2253
482,961000,40.5125
