episode,timestep,reward
1,3000,-1164.4575
2,6000,-358.3026
3,8000,-208.2291
4,11000,-501.379
5,13000,-187.0182
6,16000,-990.4589
7,18000,-629.2942
8,21000,-674.7114
9,23000,-392.95
10,26000,-149.0082
11,28000,-436.2136
12,31000,-371.5016
13,33000,-901.6906
14,36000,-342.7452
15,38000,-498.0498
16,41000,-439.3801
17,43000,-117.4498
18,46000,-795.3341
19,48000,-109.1795
20,51000,-309.9579
21,53000,-152.6971
22,56000,-120.4963
23,58000,-335.0034
24,61000,-505.5928
25,63000,-429.0728
26,66000,-243.9173
27,68000,-189.335
28,71000,-316.8437
29,73000,-399.8914
30,76000,-93.0777
31,78000,-182.5595
32,81000,-129.5879
33,83000,-123.8397
34,86000,-182.3133
35,88000,-186.4568
36,91000,-134.8197
37,93000,-154.6664
38,96000,-108.5252
39,98000,-184.0419
40,101000,-146.3894
41,103000,-131.1655
42,106000,-160.0726
43,108000,-142.3375
44,111000,-128.6615
45,113000,-185.9927
46,116000,-207.9184
47,118000,-110.0445
48,121000,-98.7146
49,123000,-110.211
50,126000,-112.443
51,128000,-123.5392
52,131000,-150.5848
53,133000,-80.2659
54,136000,-86.5701
55,138000,-92.9774
56,141000,-67.9568
57,143000,-60.8683
58,146000,-40.0654
59,148000,-57.8039
60,151000,-113.4008
61,153000,-88.6102
62,156000,-35.4071
63,158000,-134.3465
64,159000,-1.7644
65,162000,-97.2552
66,163000,27.1924
67,166000,-63.7441
68,168000,66.51
69,170000,-52.6146
70,172000,42.3236
71,174000,-65.3864
72,177000,-66.9327
73,179000,-82.7572
74,182000,-46.253
75,184000,54.154
76,185000,78.3966
77,188000,-205.8559
78,189000,64.3824
79,191000,-129.5061
80,192000,50.3927
81,194000,86.5473
82,196000,-61.1666
83,199000,-70.7281
84,201000,-88.2051
85,202000,70.1261
86,203000,75.8342
87,206000,-53.0248
88,207000,65.273
89,208000,60.3549
90,211000,-95.4662
91,213000,-59.7564
92,216000,-115.4501
93,217000,89.4773
94,218000,71.1784
95,220000,-39.1693
96,221000,60.0526
97,223000,47.3802
98,224000,52.2844
99,226000,32.419
100,229000,-297.6474
101,231000,-245.7847
102,232000,89.3515
103,234000,-34.9796
104,237000,-37.4646
105,239000,-64.655
106,242000,-47.4198
107,244000,-111.2548
108,246000,69.5777
109,248000,56.1906
110,250000,-228.4306
111,251000,85.687
112,252000,69.0663
113,254000,-69.27
114,256000,63.5915
115,257000,56.9607
116,260000,-54.1866
117,261000,34.6955
118,263000,45.5765
119,265000,47.1789
120,268000,-142.8726
121,270000,-146.8776
122,273000,-457.7185
123,275000,-178.4961
124,278000,57.1234
125,279000,41.5103
127,282000,-4.2368
129,284000,86.3071
130,286000,71.0245
131,288000,69.7385
132,290000,75.164
133,291000,61.7448
134,294000,-32.7258
135,296000,-83.0436
136,298000,-9.7188
138,300000,48.7846
139,303000,-61.1784
140,304000,80.477
141,307000,-47.9915
142,309000,-57.6129
143,312000,-114.9241
144,314000,-114.3884
145,315000,76.7655
146,318000,-230.045
147,320000,24.0522
148,322000,22.2407
149,323000,61.5119
150,324000,95.0542
151,325000,56.6222
153,326000,96.7102
154,328000,75.9552
155,329000,57.4922
156,330000,88.5166
157,332000,26.7144
159,333000,81.8933
161,334000,96.1959
162,336000,77.2619
163,337000,42.7456
164,338000,90.4804
165,340000,-128.3656
167,343000,-4.4402
169,345000,82.3103
170,347000,24.1478
171,348000,34.1293
172,350000,-18.7697
173,351000,77.1325
174,352000,50.4719
175,353000,94.3087
176,355000,-488.4941
177,356000,-24.1648
178,358000,40.4206
179,359000,35.1089
181,360000,95.1474
182,362000,63.5942
183,364000,-86.5344
184,366000,-28.4678
185,367000,58.0965
186,370000,-220.5413
188,371000,82.5305
190,372000,95.2533
191,375000,-210.9074
193,376000,85.4567
195,379000,-17.2868
196,380000,95.3961
197,381000,62.1808
198,383000,53.1109
199,384000,38.1052
200,385000,89.6463
201,386000,94.8929
202,388000,-110.3331
204,389000,90.3195
205,391000,29.5309
206,392000,63.0131
207,393000,68.489
208,394000,47.0701
209,395000,94.0033
210,397000,43.1836
211,398000,52.7123
212,399000,67.0241
213,400000,96.2981
214,401000,47.9144
215,402000,89.4538
216,404000,-494.99
218,405000,85.91
219,408000,-225.9013
220,409000,67.1378
221,412000,-351.4467
223,413000,87.51
224,416000,-322.9339
225,417000,61.7534
226,419000,69.1206
227,421000,-198.2766
229,423000,78.4161
230,424000,94.447
231,426000,47.4029
232,427000,23.775
233,428000,26.5919
234,430000,13.4432
235,431000,58.459
236,432000,72.1515
238,433000,95.3474
239,434000,70.3226
240,437000,-297.2944
241,438000,41.8035
242,439000,40.8663
244,441000,74.5907
246,442000,96.4903
247,445000,-487.9491
248,446000,71.0639
249,447000,57.6527
250,449000,6.0238
251,450000,84.4784
252,451000,41.7435
254,454000,28.9128
255,457000,-265.4282
256,458000,21.8761
257,459000,85.5937
258,461000,-186.3049
259,464000,-86.718
260,466000,-22.0984
261,468000,-40.263
262,471000,-29.8914
263,473000,-42.0065
264,476000,-369.1772
265,478000,-120.8856
266,480000,45.1799
267,482000,-42.7264
268,484000,43.6973
269,486000,-204.8765
270,488000,43.9963
271,490000,-94.2872
273,493000,18.9214
274,494000,94.3923
275,496000,-211.4739
276,498000,-7.5262
277,500000,-8.9672
278,502000,-104.6181
279,503000,92.4236
281,504000,96.8327
283,505000,92.6855
284,508000,-369.8757
285,510000,-128.7373
286,511000,95.8583
287,513000,-358.2478
288,516000,8.4823
289,518000,-390.203
290,521000,-219.8847
291,523000,-95.9695
292,526000,-302.0504
293,528000,-140.4027
294,531000,-303.432
295,533000,-254.1731
296,536000,-331.2841
297,538000,-147.8622
298,541000,-189.3687
299,543000,-126.9239
300,544000,93.4009
301,546000,-222.2448
302,549000,-240.4893
303,551000,-58.8173
304,553000,-96.7092
305,556000,-141.7329
306,558000,-201.5485
307,561000,-153.7136
308,563000,-114.6697
309,566000,-73.2571
310,568000,-252.4853
311,571000,-27.557
312,573000,-228.5593
313,576000,-264.7641
314,578000,-148.4257
316,580000,75.9601
317,583000,-263.6097
318,585000,-100.1645
319,586000,96.2577
320,588000,-297.9287
322,591000,14.2001
323,594000,-262.162
324,596000,-154.4049
325,598000,15.571
326,599000,91.2316
327,601000,-307.6817
328,604000,-117.2621
329,606000,-42.8294
331,607000,93.3498
332,608000,95.9961
334,609000,89.2688
335,612000,-123.6129
336,614000,-109.186
337,616000,6.6945
339,617000,90.2299
341,618000,93.2569
342,621000,-88.9653
343,623000,-93.1223
344,625000,46.9114
345,627000,-32.9392
346,629000,65.5831
347,632000,-246.5172
348,634000,-87.9434
349,637000,-174.8213
351,639000,40.5749
352,640000,95.0051
353,642000,-325.675
355,645000,-14.016
356,646000,96.6717
357,647000,87.5291
358,649000,-226.0743
359,651000,54.3738
360,653000,-41.5467
361,654000,54.7341
363,655000,95.7187
364,656000,97.2484
365,658000,-187.7658
366,660000,-35.4148
367,661000,90.9737
368,664000,-95.0639
370,666000,63.3364
371,669000,-193.8093
372,671000,-76.6455
373,674000,-151.4941
374,676000,-1.2403
376,677000,95.0567
377,680000,-266.5605
378,682000,-62.4049
379,683000,95.8594
380,685000,-335.2292
381,688000,-191.3983
382,690000,-84.4697
384,693000,-14.3185
386,694000,93.3581
387,697000,-177.7569
388,699000,21.8519
389,701000,33.9236
391,702000,92.3132
392,705000,-137.4582
393,707000,-21.9883
395,708000,95.4335
396,711000,-446.7683
397,713000,-2.3148
398,715000,-67.5223
400,716000,95.8698
401,719000,-136.0062
402,721000,-16.1124
403,723000,-70.5621
404,726000,-90.5634
405,728000,-44.5697
406,729000,96.2062
407,731000,-196.4103
408,732000,53.9209
409,734000,18.1269
410,736000,48.745
411,738000,68.2226
412,739000,92.533
413,741000,-167.4828
414,743000,-8.5076
415,745000,35.5556
417,748000,4.0727
418,749000,94.4617
419,751000,-274.5847
420,754000,-108.0656
421,756000,-123.1583
422,759000,-25.7886
423,761000,-60.0496
425,762000,93.4612
426,765000,-209.1304
427,766000,51.6164
428,768000,53.5412
429,770000,41.8303
430,771000,13.2088
431,773000,51.585
433,774000,95.9455
434,777000,-234.9578
435,779000,-6.8006
436,781000,-19.571
437,782000,81.4031
438,784000,27.6065
439,786000,42.9047
441,787000,95.935
442,790000,-295.8188
443,792000,-19.3063
444,794000,31.227
445,795000,96.5445
446,797000,-366.6128
447,799000,0.3349
448,802000,-116.7529
449,804000,-5.6028
450,806000,29.1969
451,809000,-89.8097
452,811000,21.6899
453,814000,-118.3542
454,816000,2.637
456,818000,79.7359
457,821000,-371.1567
458,822000,10.5529
459,824000,34.142
460,826000,42.6041
461,827000,91.3223
462,829000,-182.3381
463,830000,67.3831
465,831000,95.9022
466,832000,76.0793
468,835000,56.2033
469,838000,-117.0433
470,839000,24.831
471,840000,94.474
473,842000,55.7682
474,844000,42.7452
475,846000,26.7816
476,847000,85.911
477,848000,38.1407
478,849000,89.607
479,851000,-73.385
480,854000,51.4816
481,856000,-127.5941
482,857000,53.1022
484,860000,54.2937
485,861000,96.8751
486,863000,-240.9609
487,865000,-0.4558
488,867000,35.8428
489,869000,45.3703
490,872000,-1.9756
491,873000,46.8273
492,876000,-72.9081
493,877000,62.6368
494,878000,90.7391
495,881000,-100.078
496,882000,36.6819
497,884000,59.0528
499,885000,93.9758
500,888000,-256.5572
501,889000,23.902
502,891000,23.6039
503,892000,56.9521
504,893000,67.9318
506,894000,90.2829
507,897000,-109.1925
508,899000,8.955
509,900000,57.2934
510,901000,95.5058
511,904000,-241.6006
512,905000,29.0321
513,906000,96.8805
514,908000,-160.685
515,910000,28.4213
516,911000,91.8241
517,913000,-82.6343
518,915000,52.0438
519,918000,-116.8162
520,920000,-75.5371
521,923000,-125.8528
522,925000,51.6232
523,927000,49.3891
524,929000,-87.341
525,931000,52.7565
526,932000,95.2572
527,933000,94.6771
528,935000,-196.6012
529,936000,2.419
530,937000,96.0854
532,938000,93.7239
533,941000,-144.2925
534,942000,42.2535
535,943000,84.3751
536,944000,30.2566
537,945000,76.7012
539,946000,96.087
540,949000,-264.3923
541,951000,-65.1854
542,952000,95.5203
543,953000,82.5564
544,955000,2.7102
545,958000,-243.4496
546,960000,-81.8676
547,961000,39.7559
548,962000,65.2139
549,963000,76.7766
551,965000,80.1269
552,967000,29.816
553,968000,75.7939
554,969000,45.4147
555,970000,73.0522
556,972000,7.5658
557,973000,51.6445
558,974000,86.6485
559,975000,96.7497
560,977000,-163.4226
562,979000,65.8016
563,982000,-164.8866
564,984000,-65.986
566,985000,93.0992
568,988000,67.6687
570,991000,-0.7443
571,994000,-96.7776
572,995000,62.6747
574,996000,80.0101
576,997000,97.5998
577,1000000,-198.4433
578,1001000,40.5879
579,1002000,87.2537
580,1003000,33.7902
581,1004000,78.9848
582,1005000,97.2442
583,1007000,-268.4432
584,1010000,-63.9414
585,1012000,-63.9527
586,1013000,77.8283
587,1014000,97.2069
588,1016000,-96.1237
589,1018000,58.2616
590,1021000,-110.686
591,1022000,58.7395
592,1024000,55.1204
593,1025000,59.1518
594,1026000,62.6537
596,1028000,79.5089
597,1031000,-219.7939
598,1032000,59.2094
599,1034000,14.6333
600,1036000,50.0598
602,1038000,76.4663
603,1039000,96.9582
604,1041000,-184.4885
606,1044000,16.9121
607,1046000,50.2691
608,1049000,-156.7248
609,1051000,-153.8694
611,1054000,-76.2902
612,1057000,-287.5241
613,1059000,-333.9799
614,1060000,91.3056
615,1063000,-327.9606
616,1065000,-259.9461
618,1068000,-150.6276
