episode,timestep,reward
306,665000,-133.502
307,666000,25.6131
308,667000,39.402
309,668000,94.5768
310,670000,-74.5687
311,671000,9.9799
313,672000,67.3132
315,673000,93.6942
316,676000,63.6601
317,677000,83.051
318,679000,-45.3177
319,681000,8.4067
320,682000,52.8634
321,685000,-110.6301
322,687000,0.1166
323,688000,83.2603
324,690000,-82.7703
325,691000,90.2653
326,693000,-116.676
327,694000,90.7473
328,696000,-145.9838
329,697000,85.4186
330,700000,-98.3595
331,702000,-108.976
332,705000,-120.5354
333,707000,-165.6628
334,710000,-450.8638
335,712000,-179.2995
337,713000,91.0416
338,716000,-339.6899
339,718000,-123.4261
340,721000,-170.685
341,723000,-198.2861
343,726000,-31.9504
344,727000,88.0824
345,730000,-500.1761
346,732000,31.2055
347,733000,91.8444
348,735000,-76.2313
349,736000,86.2389
350,737000,6.4025
351,740000,-106.4149
352,742000,-73.2775
353,743000,92.5131
354,745000,-115.5424
355,747000,7.9542
356,750000,-148.9611
357,752000,-359.2995
358,755000,-165.878
359,757000,-217.4719
361,758000,92.033
362,761000,-335.5491
363,763000,-107.3289
365,766000,-42.5751
367,768000,72.0335
368,769000,86.9309
369,771000,-540.0629
371,773000,74.3834
373,775000,66.9296
374,776000,91.5787
375,779000,-46.1215
376,781000,33.3289
377,782000,76.3182
378,784000,-388.5319
380,786000,80.632
382,789000,-73.2097
384,791000,51.0792
386,792000,94.1152
387,793000,78.6355
388,794000,94.0496
389,796000,-22.1188
391,797000,84.7352
392,799000,-15.3105
393,800000,2.7117
394,801000,59.5566
395,802000,72.143
396,803000,-27.7585
397,805000,-103.2388
398,806000,90.7496
400,807000,82.1395
401,809000,-44.1087
402,810000,-68.3272
403,811000,87.987
405,813000,19.5399
406,814000,84.2247
407,816000,-96.2128
408,817000,79.3097
409,819000,-96.2498
411,820000,52.7886
412,821000,86.0893
413,823000,-71.751
414,825000,-130.3371
415,826000,-8.1121
416,828000,-6.5994
417,829000,71.9571
418,830000,61.4521
419,831000,-8.3969
420,832000,80.8236
421,833000,12.5448
422,834000,-39.1648
424,836000,49.5354
425,837000,86.5752
427,838000,90.5723
428,841000,-110.7354
429,842000,38.4916
430,843000,-8.7699
432,845000,6.7783
433,846000,83.6902
434,847000,-13.3426
435,849000,-1.1151
436,850000,-21.8335
437,851000,72.5449
438,852000,11.3788
439,854000,1.5347
441,855000,80.5313
442,857000,-30.1391
443,858000,-21.6991
444,859000,-13.1562
445,860000,63.291
446,861000,7.6306
447,862000,43.8462
448,864000,-27.403
449,865000,2.8335
450,866000,16.8074
451,867000,54.5911
452,868000,32.2804
453,869000,-8.0122
454,871000,-11.3927
456,872000,79.8817
457,874000,-13.238
458,875000,40.5159
459,876000,21.9982
460,877000,49.3441
461,878000,66.2015
463,879000,53.1576
464,880000,87.5145
465,881000,80.6182
467,882000,84.7986
468,884000,-10.1765
470,885000,58.2757
471,886000,76.4773
472,887000,55.4626
473,888000,81.413
474,889000,22.9668
475,890000,37.8668
476,891000,82.1967
477,892000,45.3221
478,893000,84.7441
479,894000,41.1367
480,895000,69.508
481,896000,22.0772
482,897000,82.9778
483,898000,45.8456
485,899000,88.9302
486,901000,-3.6603
487,902000,20.7879
488,903000,31.9472
489,904000,27.311
490,905000,29.9753
491,906000,42.5467
492,907000,56.8084
493,908000,62.2363
494,909000,90.187
495,910000,46.6318
497,911000,62.2947
498,912000,85.6144
499,913000,86.134
500,914000,46.8624
502,915000,64.1334
503,917000,-2.9794
505,918000,66.5231
506,919000,90.1062
507,920000,32.0301
508,921000,36.3037
509,922000,68.1899
510,923000,72.6281
511,924000,30.7245
513,925000,85.4838
514,926000,39.1301
515,927000,45.6965
516,928000,78.2761
517,929000,58.1508
518,930000,59.7981
519,931000,54.2983
521,932000,69.7816
522,933000,63.8229
523,934000,23.404
524,935000,3.1721
525,936000,87.8322
526,937000,88.1705
527,938000,81.5563
529,939000,67.8441
530,940000,85.5079
532,941000,95.0497
533,943000,-46.9028
535,944000,67.3329
536,945000,33.163
537,946000,84.9093
539,947000,89.6754
540,948000,36.433
541,949000,69.9537
542,950000,73.7524
543,951000,86.9133
545,952000,87.8935
546,953000,39.8829
547,954000,86.8941
548,955000,36.4777
549,956000,64.6789
550,957000,47.5308
551,958000,91.2798
553,959000,65.7115
554,960000,28.6361
555,961000,81.5195
556,962000,47.2762
557,963000,33.2524
558,964000,88.562
559,965000,84.6646
561,966000,57.1102
562,967000,95.0316
563,968000,40.451
565,969000,94.4116
567,970000,92.8328
568,972000,-43.5093
569,973000,81.3442
570,974000,55.5609
572,975000,70.0596
573,976000,53.9868
575,977000,90.7872
576,978000,94.9914
577,979000,-51.8633
578,980000,53.6115
579,981000,83.6018
581,982000,67.0388
582,983000,90.5085
583,984000,39.7587
584,985000,92.629
586,986000,76.3163
587,987000,92.2518
589,988000,80.0851
590,989000,28.2967
591,990000,64.7795
592,991000,54.8685
593,992000,63.9594
594,993000,64.9414
595,994000,58.7714
597,995000,73.7151
598,996000,88.5791
599,997000,42.7511
600,998000,49.4988
602,999000,77.8712
603,1000000,96.0781
604,1001000,22.9039
606,1002000,88.3609
607,1003000,86.3751
609,1004000,93.1591
610,1005000,94.0254
611,1006000,61.516
613,1007000,87.4333
614,1008000,66.876
615,1009000,82.2434
617,1010000,85.3544
618,1011000,61.9091
619,1012000,66.0401
620,1013000,74.471
622,1014000,84.3543
623,1015000,44.5361
624,1016000,88.5217
625,1017000,56.0087
627,1018000,73.3411
628,1019000,63.7466
629,1020000,91.2238
630,1021000,59.0391
632,1022000,71.3825
633,1023000,90.7363
634,1024000,59.7257
636,1025000,90.6684
637,1026000,45.9286
638,1027000,65.2285
640,1028000,91.4146
641,1029000,54.8652
642,1030000,87.0489
644,1031000,65.5068
645,1032000,53.7934
646,1033000,70.3963
647,1034000,81.6145
649,1035000,91.78
650,1036000,48.0856
651,1037000,58.4129
652,1038000,62.7482
654,1039000,75.2791
655,1040000,50.7655
656,1041000,75.0625
658,1042000,90.7177
659,1043000,37.579
660,1044000,76.1852
662,1045000,79.4308
663,1046000,56.9168
664,1047000,61.7352
665,1048000,89.0837
667,1049000,74.3344
668,1050000,73.4828
669,1051000,87.1859
671,1052000,79.6216
672,1053000,56.8306
673,1054000,75.9048
674,1055000,88.5939
676,1056000,58.7726
677,1057000,68.9618
678,1058000,58.0477
680,1059000,79.0629
681,1060000,56.8566
682,1061000,90.3213
684,1062000,94.5587
685,1063000,93.7732
686,1064000,-120.8795
687,1065000,91.8222
688,1066000,91.8101
690,1067000,65.4047
691,1068000,60.7296
692,1069000,94.3885
694,1070000,84.0393
695,1071000,59.4033
697,1072000,83.6114
698,1073000,78.5364
699,1074000,69.2969
701,1075000,74.1871
702,1076000,95.1644
703,1077000,50.4379
705,1078000,77.8856
706,1079000,68.7798
707,1080000,67.2366
708,1081000,61.8431
710,1082000,66.9777
712,1083000,94.993
713,1085000,-35.9638
715,1086000,93.404
716,1087000,94.1453
717,1088000,40.1849
718,1089000,55.6115
720,1090000,76.4369
721,1091000,94.6618
722,1092000,94.7641
723,1093000,-23.2696
724,1094000,88.3588
726,1095000,67.2347
727,1096000,91.595
728,1097000,75.7017
730,1098000,82.4678
731,1099000,75.0194
732,1100000,64.1511
734,1101000,83.8546
736,1102000,94.6651
738,1103000,93.164
739,1105000,-153.2496
740,1106000,93.0843
742,1107000,83.674
743,1108000,94.5645
744,1109000,59.3586
746,1110000,68.2871
747,1111000,93.8546
748,1112000,48.0592
749,1113000,64.8443
751,1114000,79.841
752,1115000,67.5345
754,1116000,94.1547
755,1117000,67.2351
757,1118000,74.8714
758,1119000,80.1095
760,1120000,94.4147
762,1122000,7.2769
763,1123000,90.6233
765,1124000,94.2935
767,1125000,92.754
768,1126000,93.1402
769,1127000,70.0911
770,1129000,-72.8389
771,1130000,85.7924
773,1131000,74.373
774,1132000,93.3445
776,1133000,68.0766
777,1134000,73.6579
779,1135000,94.5275
781,1136000,93.7245
782,1137000,92.0587
783,1139000,-197.5385
785,1140000,90.768
786,1141000,65.0893
787,1142000,93.4982
789,1143000,81.5282
790,1144000,61.5187
792,1145000,94.9974
793,1146000,59.8252
795,1147000,82.4741
796,1148000,95.0299
798,1149000,84.2415
800,1150000,94.6053
802,1152000,24.9771
804,1153000,94.8349
805,1154000,94.5071
807,1156000,18.4555
808,1157000,91.057
810,1158000,82.4233
811,1159000,77.0418
813,1160000,79.187
814,1161000,77.5882
815,1162000,95.5789
817,1163000,81.4056
818,1164000,94.5493
819,1165000,-202.472
820,1166000,64.2981
821,1167000,88.2206
823,1168000,84.993
824,1169000,95.8406
826,1170000,84.5172
827,1171000,62.9605
829,1172000,93.8237
830,1173000,76.1616
832,1174000,75.5685
833,1175000,79.7361
835,1176000,82.685
836,1177000,94.7556
838,1178000,95.3091
839,1179000,57.2881
841,1180000,93.9768
843,1181000,93.998
844,1183000,-31.2835
846,1184000,81.3241
847,1185000,81.5763
849,1186000,86.3231
850,1187000,95.339
851,1188000,39.1547
853,1189000,75.8716
854,1190000,92.7731
856,1191000,77.726
857,1192000,93.1641
859,1193000,79.7336
860,1194000,92.2866
862,1195000,79.1748
863,1196000,91.0598
865,1197000,77.1333
866,1198000,93.4909
868,1199000,94.3926
869,1201000,-110.4044
871,1202000,70.359
872,1203000,71.8707
873,1204000,77.3162
875,1205000,63.3331
876,1206000,88.5224
878,1207000,86.8883
879,1208000,73.2196
880,1209000,73.9544
882,1210000,81.4045
883,1211000,64.1099
885,1212000,93.6487
886,1213000,69.4532
888,1214000,94.1292
889,1215000,52.0393
891,1216000,81.5301
892,1217000,79.868
893,1218000,66.5537
895,1219000,86.9111
896,1220000,59.458
898,1221000,94.4896
900,1222000,93.9984
902,1225000,-373.6524
903,1226000,82.0024
905,1227000,78.6387
907,1228000,93.3606
908,1229000,63.8566
909,1230000,74.3158
910,1231000,75.5506
912,1232000,82.3721
914,1233000,94.7168
915,1234000,93.0559
916,1236000,-129.6144
918,1237000,71.912
919,1238000,83.6871
921,1239000,77.7258
922,1240000,94.1153
924,1241000,82.4831
926,1242000,94.0322
927,1243000,47.9338
929,1244000,94.5422
931,1245000,93.9818
933,1248000,-12.6954
934,1249000,73.4561
936,1250000,81.9829
937,1251000,93.6038
938,1252000,57.9335
940,1253000,80.7717
941,1254000,65.957
943,1255000,88.9207
945,1256000,76.499
946,1257000,94.6614
948,1258000,80.4791
949,1259000,95.5112
951,1260000,83.3456
952,1261000,69.3871
954,1262000,93.5256
955,1263000,69.3
956,1264000,64.538
958,1265000,84.4361
960,1266000,87.3322
961,1267000,93.8474
962,1268000,47.2
964,1269000,87.8881
965,1270000,54.9473
967,1271000,86.2872
968,1272000,72.4031
970,1273000,85.6713
971,1274000,93.906
973,1275000,78.9256
974,1276000,94.7342
976,1277000,71.2312
977,1278000,75.2618
979,1279000,94.4905
980,1280000,65.8384
982,1281000,74.9308
983,1282000,74.0411
984,1283000,74.6046
986,1284000,78.6014
987,1285000,93.8719
989,1286000,78.0228
991,1287000,94.2186
993,1288000,94.8847
995,1289000,92.4743
996,1291000,44.3984
997,1293000,-125.1629
999,1295000,3.771
1000,1298000,-602.6403
1002,1300000,22.7605
1003,1301000,81.3348
1005,1302000,81.553
1006,1303000,94.8136
1008,1304000,85.1888
1009,1305000,93.7259
1011,1306000,75.528
1013,1307000,94.52
1014,1309000,24.3177
1016,1310000,92.4552
1018,1311000,95.5082
1019,1312000,57.0066
1020,1313000,79.6707
1022,1314000,88.2293
1024,1315000,84.7704
1026,1316000,94.3941
1027,1317000,27.7201
1028,1318000,95.1597
1030,1319000,83.2545
1031,1320000,94.6344
1033,1321000,85.5702
1034,1322000,78.1209
1036,1323000,94.1845
1038,1324000,78.8323
1039,1325000,80.3438
1041,1326000,93.6929
1042,1327000,68.211
1044,1328000,85.8613
1045,1329000,94.0507
1047,1330000,70.9955
1048,1331000,95.0911
1049,1332000,67.848
1051,1333000,74.3395
1052,1334000,75.5748
1054,1335000,95.2228
1056,1336000,94.1289
1057,1338000,-122.7355
1058,1339000,92.6703
1060,1340000,87.4373
1061,1341000,74.1769
1063,1342000,82.3776
1064,1343000,93.7029
1066,1344000,64.636
1067,1345000,69.2482
1069,1346000,80.0745
1070,1347000,78.0543
1071,1348000,94.9157
1073,1349000,70.3105
1075,1350000,95.8937
1076,1351000,94.7481
1078,1352000,77.2428
1079,1353000,69.416
1081,1354000,87.0534
1082,1355000,94.7486
1084,1356000,73.9245
1085,1357000,94.7197
1087,1358000,71.9591
1088,1359000,75.0913
1089,1360000,75.4535
1091,1361000,74.5353
1092,1362000,95.7745
1094,1363000,70.0944
1095,1364000,95.6323
1097,1365000,76.7393
1098,1366000,69.2147
1100,1367000,94.9804
1101,1368000,94.3331
1102,1370000,-136.078
1104,1371000,89.854
1105,1372000,79.4948
1107,1373000,75.0406
1109,1374000,95.1489
1110,1375000,45.0121
1112,1376000,95.2363
1113,1377000,46.3512
1115,1378000,94.7214
1116,1379000,68.6891
1118,1380000,94.9119
1120,1381000,94.5388
1121,1382000,92.7078
1122,1384000,-208.981
1123,1385000,46.3768
1124,1386000,64.1113
1126,1387000,82.5401
1127,1388000,74.3166
1129,1389000,85.3179
1130,1390000,94.656
1132,1391000,76.414
1134,1392000,89.1609
1135,1393000,74.4634
1136,1394000,93.7376
1138,1395000,82.8106
1140,1396000,94.5286
1141,1397000,39.5391
1143,1398000,87.5962
1144,1399000,75.792
1145,1400000,75.2675
1147,1401000,78.2448
1148,1402000,77.8756
1150,1403000,75.9679
1151,1404000,79.3236
1153,1405000,83.4444
1154,1406000,77.0925
1156,1407000,95.0939
1157,1408000,68.8165
1159,1409000,83.3408
1161,1410000,94.7406
1162,1411000,47.2051
1163,1412000,82.4578
1165,1413000,77.7608
1167,1414000,94.7708
1168,1415000,93.9613
1169,1416000,10.1569
1171,1417000,94.3806
1172,1418000,94.3089
1174,1419000,37.47
1175,1420000,74.859
1176,1421000,71.0709
1178,1422000,94.6722
1180,1423000,81.9348
1182,1424000,94.6609
1183,1425000,94.5327
1184,1426000,93.6452
1185,1428000,-161.1088
1187,1429000,89.5161
1189,1430000,86.2983
1190,1431000,81.5721
1191,1432000,95.4635
1193,1433000,78.1951
1195,1434000,85.206
1196,1435000,94.0677
1198,1436000,80.9929
1199,1437000,70.7989
1201,1438000,88.5655
1203,1439000,94.2092
1204,1440000,93.6885
1205,1442000,-261.8787
1206,1443000,84.1514
1208,1444000,89.6361
1210,1445000,95.0714
1211,1446000,93.8781
1213,1447000,57.6251
1214,1448000,78.5504
1216,1449000,94.7966
1217,1450000,54.063
1219,1451000,86.7704
1220,1452000,94.1566
1222,1453000,82.7384
1223,1454000,71.2108
1224,1455000,76.8998
1226,1456000,79.5793
1227,1457000,74.7927
1229,1458000,86.0873
1230,1459000,94.8774
1232,1460000,73.0947
1234,1461000,95.0399
1235,1462000,64.3041
1236,1463000,96.2133
1238,1464000,84.2987
1240,1465000,95.0514
1241,1466000,94.5647
1242,1468000,-119.2494
1244,1469000,78.3042
1245,1470000,92.4527
1247,1471000,80.6207
1248,1472000,72.6589
1249,1473000,78.8132
1251,1474000,75.4213
1252,1475000,75.072
1254,1476000,94.2847
1255,1477000,52.1496
1257,1478000,88.5259
1259,1479000,94.3148
1260,1480000,8.2328
1261,1481000,67.8605
1263,1482000,94.0076
1265,1483000,93.0668
1266,1484000,92.8339
1267,1486000,-230.7762
1268,1487000,39.9697
1270,1488000,76.6084
1271,1489000,76.6092
1273,1490000,83.4652
1274,1491000,73.4569
1275,1492000,83.497
1277,1493000,72.0608
1279,1494000,94.2605
1280,1495000,94.5342
1281,1497000,-168.3949
1282,1498000,88.8453
1284,1499000,84.3386
1285,1500000,84.0727
1287,1501000,83.4861
1289,1502000,87.4074
