episode,timestep,reward
1,3000,-717.9274
2,6000,-1597.0347
3,8000,-1198.9016
4,11000,-1769.0066
5,13000,-635.2296
6,16000,-718.4888
7,18000,-652.5089
8,21000,-1371.0001
9,23000,-750.8211
10,26000,-882.9337
11,28000,-1898.3051
12,31000,-763.7537
13,33000,-1743.5787
14,36000,-1232.1663
15,38000,-926.2097
16,41000,-1538.8246
17,43000,-1743.996
18,46000,-1814.4961
19,48000,-960.7812
20,51000,-1721.0625
21,53000,-1270.8521
22,56000,-681.9312
23,58000,-684.7489
24,61000,-542.8675
25,63000,-543.2024
26,66000,-666.3595
27,68000,-509.8457
28,71000,-723.0983
29,73000,-860.4745
30,76000,-754.735
31,78000,-641.7286
32,81000,-617.8286
33,83000,-316.415
34,86000,-1371.9283
35,88000,-578.5826
36,91000,-406.0304
37,93000,-435.8059
38,96000,-348.6038
39,98000,-641.6741
40,101000,-573.2422
41,103000,-681.2661
42,106000,-755.9367
43,108000,-519.0507
44,111000,-533.1367
45,113000,-1166.4791
46,116000,-1174.8686
47,118000,-688.0403
48,121000,-559.8218
49,123000,-503.2436
50,126000,-574.9133
51,128000,-639.0458
52,131000,-1760.0086
53,133000,-596.082
54,136000,-1264.7547
55,138000,-419.236
56,141000,-1081.4305
57,143000,-690.7387
58,146000,-468.7223
59,148000,-486.3033
60,151000,-1277.7028
61,153000,-705.6235
62,156000,-605.501
63,158000,-989.2944
64,161000,-666.0478
65,163000,-712.9039
66,165000,-188.589
67,167000,-552.3428
68,169000,-252.5132
69,172000,-679.9961
70,174000,-1101.2704
71,177000,-681.0021
72,179000,-866.4292
73,182000,-797.5845
74,184000,-569.2519
75,187000,-556.7585
76,189000,-553.0863
77,192000,-734.8658
78,194000,-614.9385
79,197000,-1076.6939
80,199000,-1123.1372
81,202000,-540.721
82,204000,-424.5604
83,207000,-601.3048
84,209000,-966.9909
85,212000,-249.9186
86,214000,-497.2899
87,217000,-1000.5551
88,219000,-1075.5535
89,222000,-440.3837
90,224000,-743.6931
91,227000,-550.506
92,229000,-774.2138
93,232000,-425.2036
94,234000,-189.1594
95,235000,-152.8116
96,237000,-299.4156
97,239000,-416.1488
98,242000,-349.749
99,244000,-528.88
100,247000,-584.8721
101,249000,-2356.806
102,252000,-646.0987
103,253000,-18.129
104,256000,-264.8259
105,258000,-479.4195
106,261000,-422.394
107,263000,-553.7215
108,265000,-64.5908
109,266000,-67.7537
110,269000,-740.0949
111,271000,-625.8656
112,274000,-1134.5484
113,276000,-364.0646
114,279000,-2017.3346
115,281000,-943.4029
116,284000,-627.5394
117,286000,8.5069
118,287000,-156.456
119,290000,-314.3755
120,292000,-184.3383
121,295000,-608.4737
122,296000,-260.385
123,299000,-1874.0266
124,301000,-43.7777
125,303000,-790.3381
126,306000,-358.8931
127,308000,-2080.3673
128,311000,-451.8478
129,312000,-83.0168
130,314000,-233.5798
132,317000,-255.2086
133,320000,-723.7392
134,321000,2.3283
135,324000,-2109.2247
136,325000,54.0612
137,327000,-286.5273
138,330000,-869.9303
139,332000,-193.4853
140,335000,-949.2589
141,337000,-214.6882
142,339000,-119.1794
143,340000,-234.6604
144,342000,-272.2236
145,345000,-1766.8678
146,347000,-1601.1055
147,348000,76.3556
148,349000,11.8223
149,352000,-2030.9815
150,354000,-137.0623
151,357000,-1451.1806
152,359000,-311.7418
153,361000,-74.2171
154,363000,-183.9176
155,365000,-370.8376
156,368000,-772.9848
157,370000,-762.6024
158,373000,-1108.871
159,374000,57.6018
160,375000,21.9016
161,377000,-64.1499
162,379000,-187.8634
163,381000,-243.3479
164,383000,-1091.8355
165,386000,-717.9506
166,388000,-1641.5404
167,390000,-48.5142
168,392000,-417.8546
169,394000,-24.7117
170,396000,-1803.3933
171,399000,-503.0157
172,401000,-2518.3846
173,404000,-394.3968
174,406000,-2191.1831
175,407000,42.193
176,410000,-475.6042
177,412000,-2256.3936
178,415000,-497.113
179,417000,-2356.8993
180,420000,-226.9351
181,421000,2.1828
182,424000,-1844.739
183,426000,-474.8516
184,429000,-2315.7031
185,431000,-551.0004
186,434000,-2157.5181
187,436000,-461.3335
188,437000,38.0411
189,439000,-50.8006
190,440000,-124.1225
191,443000,-1550.3895
192,445000,-246.7195
193,448000,-300.7303
194,450000,-1162.3271
195,451000,42.2626
196,452000,65.3707
197,454000,-643.8056
198,457000,-1102.9606
199,459000,-488.2587
200,460000,40.8783
201,462000,1.8906
202,464000,-1995.7331
203,465000,80.573
204,466000,67.3733
205,468000,-489.2676
206,471000,-1909.477
207,473000,-417.9544
208,476000,-1981.8681
209,478000,-162.0135
210,480000,-526.3792
211,483000,-2112.4753
212,485000,-677.9809
213,486000,80.2477
214,488000,-1689.0487
215,490000,20.233
216,492000,-637.1436
217,493000,78.2694
218,494000,49.6785
219,496000,-2151.3169
220,498000,-109.0795
221,500000,-572.0793
222,501000,43.0866
223,502000,8.3516
224,505000,-1805.0701
226,506000,73.2863
227,509000,-657.7588
228,511000,23.0718
229,512000,-78.3611
230,513000,-162.9579
231,516000,-727.8166
232,518000,-443.5298
233,521000,-2038.7897
234,523000,-601.1272
235,526000,-1904.5034
236,528000,-432.1585
237,529000,29.6898
238,530000,-92.2296
239,532000,-148.8821
240,535000,-937.4643
241,537000,-584.4042
242,540000,-1835.7126
243,542000,-530.2522
244,544000,9.2507
245,545000,-15.2383
246,546000,-219.9612
247,549000,-2075.2418
248,551000,-32.6799
249,554000,-970.9201
250,556000,-503.7416
251,558000,34.7506
252,560000,-1564.3193
253,561000,-51.4516
254,564000,-192.4125
255,566000,-1353.927
256,569000,-536.9594
257,570000,35.094
258,572000,-2010.7184
259,573000,58.9725
260,576000,-670.618
261,578000,-1565.3475
262,581000,-396.89
263,582000,7.7441
265,585000,-886.7732
266,587000,-386.3764
267,590000,-757.5495
268,592000,-334.1158
269,594000,-1448.5829
270,597000,-399.5843
271,599000,-2237.1156
272,600000,24.0016
274,602000,49.4087
275,605000,-795.2049
276,607000,-780.3554
277,610000,-492.8993
278,612000,-753.1098
279,613000,28.7793
280,614000,36.9387
281,616000,30.9746
282,617000,-10.6772
283,619000,-134.4387
284,621000,-1109.0149
285,622000,28.2582
286,624000,15.7736
287,626000,-586.7553
288,629000,-1098.9537
289,630000,-449.4912
290,633000,-1158.6873
291,635000,-427.2003
292,638000,-2113.0138
293,640000,-308.8853
294,642000,-451.5581
295,644000,-1083.6122
296,647000,-1013.2026
297,649000,-337.97
298,650000,19.6362
299,652000,-1244.4183
300,654000,-72.31
301,656000,-245.7883
302,657000,24.3514
303,659000,-387.0334
304,661000,-373.0894
305,663000,-370.7839
306,665000,-929.3305
307,668000,-1040.5159
308,670000,-1030.8296
309,673000,-341.9285
310,675000,-299.727
311,677000,-752.3413
312,679000,-394.2597
314,681000,26.5766
315,682000,80.1374
316,683000,24.3234
318,686000,-851.5641
319,687000,55.7256
320,689000,-332.2463
321,690000,52.1159
322,691000,70.3055
323,693000,-820.4333
324,694000,35.1489
325,696000,-281.2267
326,697000,51.7722
327,699000,-454.4774
328,700000,68.9133
329,702000,-1182.5616
330,703000,-36.001
331,705000,13.3923
333,706000,58.3334
334,707000,63.9154
335,709000,9.2003
336,711000,-1444.3127
337,714000,-538.6079
338,715000,24.8006
339,716000,-76.8145
340,718000,-200.0947
341,720000,-185.9211
342,721000,-255.8186
343,724000,-1151.5766
344,726000,-544.4205
345,729000,-1329.6707
346,730000,48.9703
347,732000,-364.9038
348,733000,8.0733
349,735000,-459.1607
350,737000,-578.4743
351,739000,14.7486
352,741000,-111.0745
353,743000,-453.1747
354,744000,49.0771
355,746000,-120.6984
356,747000,-126.3942
357,749000,-220.1087
358,750000,-285.5645
359,752000,-220.3369
360,755000,-1993.6389
361,757000,-501.1903
362,758000,-70.19
363,760000,-11.9974
364,761000,-167.8118
365,764000,-639.6281
366,766000,-505.4651
367,768000,-18.6755
368,770000,-1630.0555
369,773000,-445.8927
370,774000,8.4552
371,776000,-1626.3493
372,777000,53.517
373,780000,-490.4101
374,782000,-1739.6031
375,783000,49.9515
376,784000,66.36
377,786000,-344.1834
378,788000,-547.6752
379,789000,78.7821
380,791000,-1242.7432
381,793000,-350.4662
382,795000,-27.3355
384,797000,-106.8928
385,798000,63.6039
386,799000,79.0811
387,801000,-1515.0744
388,802000,71.365
389,804000,-482.9051
390,805000,77.6603
391,806000,33.9929
392,809000,-1427.2984
393,811000,-455.6217
394,813000,-33.4761
395,814000,-124.8392
396,816000,-1227.0634
397,819000,-533.3327
398,820000,5.2187
399,822000,-165.6991
400,823000,-156.2979
401,826000,-1335.6213
402,828000,-554.0727
403,830000,29.498
404,833000,-1288.2256
405,834000,45.9038
406,835000,-8.3822
407,837000,-467.9533
408,839000,-26.9967
409,841000,-1684.9551
410,844000,-413.0023
411,845000,33.8512
412,846000,-161.5455
413,849000,-1398.6157
414,851000,-548.472
415,854000,-1393.8259
416,856000,-403.0488
417,857000,52.254
418,858000,-141.7035
