episode,timestep,reward
1,3000,-636.7814
2,6000,-81.8966
3,8000,-89.8811
4,11000,-270.3889
5,13000,-591.7314
6,16000,-533.4445
7,18000,-662.3537
8,21000,-120.8176
9,23000,-263.5
10,26000,-730.878
11,28000,-329.592
12,31000,-322.2895
13,33000,-99.7557
14,36000,-285.0542
15,38000,-421.1642
16,41000,-402.9308
17,43000,-102.47
18,46000,-804.454
19,48000,-68.2546
20,51000,-327.3334
21,53000,-95.4173
22,56000,-618.0575
23,58000,-188.0296
24,61000,-132.862
25,63000,-717.0528
26,66000,-242.38
27,68000,-115.8151
28,71000,-155.2249
29,73000,-302.7569
30,76000,-181.2063
31,78000,-195.5033
32,81000,-193.5729
33,83000,-100.916
34,86000,-176.043
35,88000,-142.7569
36,91000,-170.2731
37,93000,-258.1319
38,96000,-111.0979
39,98000,-63.5534
40,101000,-116.0425
41,103000,-751.9971
42,106000,-110.9946
43,108000,-959.4645
44,111000,-525.711
45,113000,-321.3339
46,116000,-49.0579
47,118000,-174.4509
48,121000,-63.1894
49,123000,-688.9438
50,126000,-323.5586
51,128000,-479.8937
52,131000,-198.7355
53,133000,-87.0675
54,136000,-119.4964
55,138000,-106.484
56,141000,-120.7918
57,143000,-92.856
58,146000,-118.5435
59,148000,-80.7178
60,151000,-407.3391
61,153000,-69.7376
62,156000,-79.2324
63,158000,-136.7854
64,161000,-82.9358
65,163000,-133.4635
66,166000,-130.8959
67,168000,-37.637
68,171000,-78.8164
69,173000,-64.3388
70,176000,-151.414
71,178000,-61.6286
72,181000,-89.5729
73,183000,-40.6733
74,186000,-59.2572
75,188000,-48.9245
76,191000,-43.4386
77,193000,-51.57
78,196000,-78.1851
79,198000,-365.1787
80,201000,-378.3709
81,203000,-241.5439
82,206000,-140.0673
83,208000,-218.3276
84,211000,-300.2114
85,213000,-66.078
86,216000,-58.6954
87,218000,-199.6287
88,221000,-147.1719
89,223000,-47.0845
90,226000,-55.7205
91,228000,-44.4033
92,231000,-114.5927
93,233000,-30.8983
94,236000,-83.8698
95,238000,-54.6519
96,241000,-220.2842
97,243000,-217.6638
98,246000,-241.9924
99,248000,-188.7568
100,251000,-312.2116
101,253000,-166.1399
102,256000,-107.9871
103,258000,-58.991
104,261000,-47.2343
105,263000,-52.6152
106,266000,-84.7645
107,268000,-52.9945
108,271000,-50.1062
109,273000,-53.4716
110,276000,-99.0486
111,278000,-99.8624
112,281000,-79.7674
113,283000,-53.7523
114,286000,-26.4913
115,288000,-75.1647
116,291000,-45.1505
117,293000,-37.3494
118,296000,-23.0222
119,298000,-42.401
120,301000,-37.6463
121,303000,-42.7958
122,305000,59.5279
123,307000,-169.6645
124,310000,-46.3096
125,312000,-57.0315
126,315000,-35.1834
127,317000,-43.885
128,320000,-34.2645
129,321000,83.748
130,324000,-33.7868
131,326000,-81.986
132,329000,-87.3479
133,331000,-105.7835
134,334000,-31.7877
135,336000,-55.148
136,339000,-50.8421
137,341000,61.1555
138,343000,-38.2246
139,346000,-38.7558
140,348000,-27.5022
141,350000,71.1345
142,353000,-33.715
143,355000,49.0824
144,357000,-68.4476
145,359000,75.6413
146,360000,81.9756
147,362000,-60.2642
148,364000,57.1348
149,367000,-42.6549
150,368000,70.8424
151,371000,-90.1241
152,373000,-34.6582
153,376000,-31.4943
154,378000,-45.264
155,381000,-41.803
156,383000,-45.1762
157,385000,81.9936
158,387000,-47.0558
159,389000,58.3209
160,391000,-36.4452
161,394000,-31.132
162,396000,-28.7879
163,398000,66.9755
164,401000,-21.8082
165,402000,72.8416
166,405000,-51.3103
168,407000,76.4903
169,409000,82.8512
170,410000,81.2418
171,413000,-51.9086
172,415000,74.8733
173,417000,-22.3381
175,419000,85.4114
176,420000,73.4919
177,423000,-67.7481
178,424000,86.7681
179,426000,81.5783
180,428000,-16.5035
181,430000,78.3767
182,431000,97.6402
183,432000,74.3559
184,434000,61.8638
185,435000,88.8122
186,436000,83.7146
187,437000,98.2937
188,438000,76.565
189,441000,-23.9664
190,443000,-25.4284
191,444000,95.2215
192,447000,-24.6957
193,449000,-33.8769
194,450000,73.0569
195,451000,98.7346
196,453000,-27.7904
198,456000,35.0618
199,458000,82.185
200,460000,-28.442
201,463000,-24.8667
202,464000,74.3504
203,467000,74.5765
204,469000,-27.3128
205,470000,89.8462
206,471000,92.2681
207,472000,96.1996
209,473000,92.2838
210,474000,90.5604
212,475000,91.4572
214,478000,39.2003
215,480000,69.9649
216,482000,69.0414
218,483000,98.4736
220,484000,91.737
221,486000,76.1114
222,488000,80.3448
223,490000,63.6726
224,491000,82.7703
225,493000,-41.8018
226,495000,18.4851
227,496000,95.5602
228,499000,-55.4336
229,501000,-100.0803
230,504000,-127.7006
231,506000,-44.2755
232,508000,75.959
233,509000,82.1622
234,510000,76.1845
235,511000,95.8863
237,512000,98.1775
238,514000,76.1702
240,517000,12.7861
241,518000,90.1334
243,519000,93.2289
244,522000,-37.3737
245,524000,-34.0448
246,527000,-59.1553
247,528000,76.0024
248,529000,98.8044
250,530000,87.2911
251,531000,98.9487
253,532000,97.9383
255,533000,96.4421
256,534000,88.2387
258,535000,93.9789
259,536000,96.8105
261,537000,85.0244
262,538000,84.4236
264,539000,96.281
266,540000,95.7708
267,541000,77.7568
268,542000,94.0892
269,543000,77.012
271,544000,95.8998
273,545000,97.4524
275,548000,85.6092
276,549000,78.285
277,550000,78.368
279,551000,96.059
281,552000,98.8683
282,555000,-18.0559
283,557000,-25.4837
284,558000,94.366
285,560000,-31.6728
286,563000,-51.9302
287,564000,83.9862
288,565000,98.1313
290,566000,80.4727
291,567000,96.7251
293,568000,94.5307
294,569000,94.5308
296,570000,81.8496
297,571000,96.4165
299,572000,94.9268
301,573000,98.052
302,576000,79.7909
304,577000,89.0968
305,578000,87.7155
307,579000,87.4742
308,580000,97.0708
309,581000,99.15
310,582000,74.099
312,583000,90.2554
314,584000,97.6844
315,586000,86.5005
316,589000,46.2038
317,590000,93.2963
318,592000,-33.8549
320,595000,16.1538
321,598000,-52.3798
322,600000,-39.9153
324,602000,87.9831
325,603000,87.028
326,604000,95.5831
328,605000,88.7833
330,606000,89.6827
332,607000,98.1847
333,610000,56.0702
334,612000,-36.1202
335,615000,-95.1511
337,616000,91.2383
338,619000,-57.6865
339,621000,-72.1511
340,624000,-139.4196
341,626000,-65.5861
342,629000,-111.2697
343,631000,-47.1893
344,632000,92.53
346,634000,86.9913
348,635000,94.8293
350,637000,83.8477
352,638000,98.6796
353,639000,89.1756
354,640000,97.5842
355,641000,79.0419
356,644000,-25.5995
357,646000,-74.6415
358,649000,-121.1891
359,651000,-54.6556
360,652000,89.0998
361,653000,93.0064
362,655000,-60.0477
363,658000,-41.1876
364,660000,-41.9641
365,663000,-35.1198
366,665000,71.235
