episode,timestep,reward
1,3000,-250.5851
2,6000,-1526.3573
3,8000,-1226.212
4,11000,-1570.6932
5,13000,-486.744
6,16000,-880.4661
7,18000,-794.5785
8,21000,-968.7109
9,23000,-497.095
10,26000,-404.2002
11,28000,-1225.4203
12,31000,-615.3253
13,33000,-1338.8547
14,36000,-373.0415
15,38000,-513.9759
16,41000,-727.856
17,43000,-278.1257
18,46000,-873.0554
19,48000,-1085.9
20,51000,-720.2144
21,53000,-682.0627
22,56000,-864.6198
23,58000,-575.6094
24,61000,-619.3991
25,63000,-341.6072
26,66000,-534.3296
27,68000,-1110.442
28,71000,-494.3645
29,73000,-796.3798
30,76000,-194.6318
31,78000,-370.8324
32,81000,-338.6571
33,83000,-337.4497
34,86000,-473.2682
35,88000,-851.354
36,91000,-354.2421
37,93000,-565.6159
38,96000,-135.3035
39,98000,-652.6785
40,101000,-703.6065
41,103000,-751.3846
42,106000,-577.9238
43,108000,-565.0812
44,111000,-264.3534
45,113000,-319.9674
46,116000,-787.9085
47,118000,-731.2947
48,121000,-204.7296
49,123000,-667.264
50,126000,-312.8952
51,128000,-805.0394
52,131000,-1706.6341
53,133000,-640.31
54,136000,-1157.2832
55,138000,-319.1321
56,141000,-521.8375
57,143000,-1976.5983
58,146000,-274.723
59,148000,-509.1122
60,151000,-893.1837
61,153000,-448.2123
62,156000,-244.653
63,158000,-598.0276
64,161000,-444.4554
65,163000,-832.1045
66,164000,-45.213
67,167000,-555.3465
68,169000,22.0377
69,171000,-284.0779
70,174000,-148.7718
71,176000,-367.362
72,179000,-1519.8718
73,181000,-743.03
74,184000,-1016.752
75,186000,15.1852
76,188000,-282.9742
77,191000,-373.13
78,193000,-504.4921
79,196000,-986.9033
80,198000,-288.4695
81,201000,-241.9765
82,203000,-453.2493
83,206000,-1456.4899
84,208000,-755.1694
85,211000,-126.9167
86,213000,-206.1095
87,216000,-498.0837
88,218000,-672.7679
89,221000,-315.3835
90,223000,-825.7798
91,226000,-550.0668
92,228000,-1780.812
93,231000,-449.2393
94,233000,-715.8788
95,235000,35.1295
96,238000,-295.7054
97,240000,-380.8166
98,243000,-278.1482
99,245000,-328.9624
100,248000,-1558.2245
101,250000,-1540.672
102,253000,-575.8105
103,255000,-536.1315
104,258000,-149.9614
105,260000,-139.446
106,263000,-838.9875
107,265000,-407.6942
108,268000,-502.2775
109,270000,-224.5912
110,273000,-1065.7406
111,275000,-726.0195
112,278000,-1560.802
113,280000,-633.044
114,283000,-1856.4866
115,285000,-525.0141
116,288000,-1741.9539
117,290000,29.5789
118,291000,17.5182
119,294000,-286.5468
120,296000,-160.4898
121,298000,-65.3162
122,300000,-488.918
123,303000,-247.3828
124,305000,35.5166
125,308000,-1475.6901
126,310000,-577.3544
127,313000,-1894.6504
128,315000,-428.8308
129,316000,89.1938
130,318000,-102.7989
131,321000,-353.6457
132,323000,-258.7496
133,326000,-642.0976
134,328000,-520.4126
135,331000,-1330.5181
136,332000,48.2785
137,335000,-467.123
138,337000,-849.9482
139,339000,12.7654
140,342000,-733.2516
141,344000,-456.456
142,345000,67.5354
143,346000,27.8154
144,347000,47.2022
145,350000,-452.3164
146,352000,-550.361
147,354000,75.5719
148,355000,10.3693
149,357000,-1384.7992
150,359000,60.7448
151,361000,-409.3656
152,364000,-438.0757
153,365000,61.1963
154,366000,-42.5564
155,369000,-390.1611
156,371000,-632.0814
157,374000,-932.4836
158,376000,-504.1783
159,377000,46.6622
160,380000,-665.5552
161,382000,-119.0589
162,384000,-1.0602
163,386000,-241.4207
164,389000,-466.422
165,391000,-441.7112
166,394000,-570.5473
167,395000,60.6983
168,398000,-420.7002
169,399000,62.867
170,401000,-457.2749
171,404000,-1169.3418
172,406000,-498.302
173,409000,-1567.8684
174,411000,-403.4024
175,412000,52.4573
176,415000,-1288.0109
177,417000,-434.55
178,420000,-1212.768
179,422000,-469.5876
180,423000,81.0292
181,424000,59.1388
182,427000,-445.3785
183,429000,-421.5361
184,432000,-1150.4568
185,434000,-334.8513
186,437000,-815.3555
187,439000,-219.8728
188,440000,44.8678
189,442000,44.1948
190,443000,27.8553
191,445000,-602.6382
192,446000,87.8149
193,448000,-139.7639
195,451000,-123.2038
196,454000,-123.0269
197,456000,-293.1917
198,458000,-72.5754
199,461000,-535.6663
200,462000,53.7867
201,463000,48.1332
202,466000,-2077.2777
203,468000,-130.0312
204,470000,31.4689
205,472000,-82.9155
206,474000,-463.6244
207,477000,-614.1691
208,479000,-419.8182
209,480000,16.8601
210,483000,-1107.9355
211,485000,-302.7409
212,488000,-1198.4938
213,490000,48.2242
215,493000,-176.2615
217,496000,-322.574
218,498000,45.0216
220,501000,-306.0977
221,504000,-396.1586
222,506000,-3.6667
223,507000,-29.5505
224,509000,-1130.3949
226,510000,89.5298
227,513000,-365.713
228,514000,69.7827
229,516000,10.3651
230,518000,-9.7013
231,520000,-364.036
232,523000,-345.0591
233,525000,-503.1059
234,528000,-1929.1534
235,530000,-449.8739
237,533000,-446.5737
239,534000,86.848
240,537000,-540.366
241,539000,-280.6432
242,542000,-999.4564
243,544000,-260.4928
244,545000,52.6587
245,547000,8.1828
246,548000,6.0126
247,550000,-450.69
248,551000,91.2859
249,553000,-366.3806
250,556000,-1330.6056
251,557000,25.093
252,560000,-379.9183
253,561000,79.0224
254,562000,10.437
255,564000,-469.8399
256,567000,-463.036
257,568000,66.3036
259,571000,-425.6543
260,574000,-494.2298
261,576000,-1078.4219
262,579000,-285.9975
263,580000,41.4943
264,582000,-1129.614
265,583000,89.8626
266,585000,-371.4094
267,588000,-1093.2302
268,590000,-289.8024
269,593000,-738.115
270,595000,-253.9966
271,598000,-1156.8257
273,599000,86.8008
274,600000,92.7451
275,602000,-455.1421
276,605000,-361.4338
277,607000,-1487.5225
278,609000,-62.43
279,611000,-314.2442
280,613000,-38.3754
281,614000,76.4099
282,615000,94.05
283,616000,92.075
284,618000,-602.353
285,619000,94.3695
286,620000,60.0282
287,623000,-1406.8868
288,625000,-338.6315
289,628000,-1285.7714
290,630000,-443.4175
291,633000,-771.6319
292,634000,-53.1045
293,637000,-354.957
294,639000,-1593.8635
295,642000,-633.164
296,644000,-183.0442
297,646000,-198.1539
298,649000,-738.7073
300,651000,-107.7066
301,654000,-344.422
302,656000,-347.9048
303,659000,-343.6826
304,661000,-560.7516
305,663000,-61.8223
306,665000,-742.9102
307,668000,-606.1386
308,670000,-477.3828
309,673000,-625.0867
310,675000,-236.1164
311,677000,-112.3704
312,679000,-309.0173
314,680000,92.8249
316,681000,92.1346
318,684000,-346.7528
319,687000,-274.44
320,688000,-82.1509
321,691000,-303.8199
322,693000,-20.9499
323,694000,-24.2494
324,695000,93.2542
325,697000,-554.0928
326,698000,90.3453
328,700000,-15.6154
329,703000,-483.104
330,705000,-219.6118
